MES REF  ;  SAL BRUTO (R$);  BASE IRRF (R$);  DESC NSS (R$);  DESC IRRF (R$);  DESC TOTAL (R$);  SAL LIQUIDO (R$);  ALIQ INSS (%);  ALIQ IRRF (%);  EFET INSS (%);  EFET IRRF (%)
01/22    ;         2450,00;         2247,00;         203,00;           25,73;           228,72;           2221,28;          12,00;           7,50;           8,29;           1,05
02/22    ;         3500,00;         3171,00;         329,00;          129,85;           458,85;           3041,15;          12,00;          15,00;           9,40;           3,71
03/22    ;         3500,00;         3171,00;         329,00;          129,85;           458,85;           3041,15;          12,00;          15,00;           9,40;           3,71
04/22    ;         3500,00;         3171,00;         329,00;          129,85;           458,85;           3041,15;          12,00;          15,00;           9,40;           3,71
05/22    ;         4375,00;         3926,33;         448,67;          247,29;           695,97;           3679,03;          14,00;          22,50;          10,26;           5,65
06/22    ;         4375,00;         3926,33;         448,67;          247,29;           695,97;           3679,03;          14,00;          22,50;          10,26;           5,65
07/22    ;         4520,25;         4051,24;         469,01;          275,40;           744,41;           3775,84;          14,00;          22,50;          10,38;           6,09
08/22    ;         5031,25;         4490,70;         540,55;          374,28;           914,83;           4116,42;          14,00;          22,50;          10,74;           7,44
09/22    ;         5031,25;         4490,70;         540,55;          374,28;           914,83;           4116,42;          14,00;          22,50;          10,74;           7,44
10/22    ;         5031,25;         4490,70;         540,55;          374,28;           914,83;           4116,42;          14,00;          22,50;          10,74;           7,44
11/22    ;         5534,38;         4923,39;         610,99;          484,57;          1095,56;           4438,82;          14,00;          27,50;          11,04;           8,76
12/22    ;            0   ;            0   ;           0   ;            0   ;             0   ;              0   ;           0   ;           0   ;           0   ;           0
